time,CUM_WTR
2010-10-01,0.0
2010-11-01,2712.0
2010-12-01,5554.0
2011-01-01,7087.0
2011-02-01,8184.0
2011-03-01,9084.0
2011-04-01,9854.0
2011-05-01,10291.0
2011-06-01,10896.0
2011-07-01,11689.0
2011-08-01,12392.0
2011-09-01,12945.0
2011-10-01,13510.0
2011-11-01,13982.0
2011-12-01,14360.0
2012-01-01,14740.0
2012-02-01,15107.0
2012-03-01,15364.0
2012-04-01,15614.0
2012-05-01,15816.0
2012-06-01,15943.0
2012-07-01,16510.0
2012-08-01,17022.0
2012-09-01,17415.0
2012-10-01,17753.0
2012-11-01,17995.0
2012-12-01,18212.0
2013-01-01,18355.0
2013-02-01,18422.0
2013-03-01,18489.0
2013-04-01,18626.0
2013-05-01,18768.0
2013-06-01,19008.0
2013-07-01,19140.0
2013-08-01,19287.0
2013-09-01,19432.0
2013-10-01,19604.0
2013-11-01,19741.0
2013-12-01,19959.0
2014-01-01,19997.0
2014-02-01,20815.0
2014-03-01,21313.0
2014-04-01,21711.0
2014-05-01,22019.0
2014-06-01,22256.0
2014-07-01,23478.0
2014-08-01,24040.0
2014-09-01,24460.0
2014-10-01,24737.0
2014-11-01,24912.0
2014-12-01,25014.0
2015-01-01,25066.0
2015-02-01,25124.0
2015-03-01,25224.0
2015-04-01,25302.0
2015-05-01,25387.0
2015-06-01,25440.0
2015-07-01,25485.0
2015-08-01,25535.0
2015-09-01,25550.0
2015-10-01,26113.0
2015-11-01,26685.0
2015-12-01,27081.0
2016-01-01,27435.0
2016-02-01,27743.0
2016-03-01,27975.0
2016-04-01,28133.0
2016-05-01,28378.0
2016-06-01,28638.0
2017-02-01,28770.0
2017-03-01,32067.0
2017-04-01,35300.0
2017-05-01,37548.0
2017-06-01,39231.0
2017-07-01,40886.0
2017-08-01,42299.0
2017-09-01,44564.0
2017-10-01,46644.0
2017-11-01,48509.0
2017-12-01,49766.0
2018-01-01,51213.0
2018-02-01,52395.0
2018-03-01,53768.0
2018-04-01,55135.0
2018-05-01,56517.0
2018-06-01,57937.0
2018-07-01,59062.0
2018-08-01,60101.0
2018-09-01,60878.0
2018-10-01,61977.0
2018-11-01,63224.0
2018-12-01,64567.0
2019-01-01,65350.0
2019-02-01,65955.0
2019-03-01,66475.0
2019-04-01,67093.0
2019-05-01,68056.0
2019-06-01,68633.0
2019-07-01,69433.0
2019-08-01,69938.0
2019-09-01,70425.0
2019-10-01,70795.0
2019-11-01,71015.0
2019-12-01,71220.0
2020-01-01,71237.0
2020-03-01,71620.0
2020-04-01,72093.0
2020-06-01,72956.0
2020-07-01,74040.0
2020-08-01,75038.0
