time,CUM_PROD_DAYS
2015-09-01,0.0
2015-10-01,21.0
2015-11-01,50.0
2015-12-01,81.0
2016-01-01,112.0
2016-02-01,141.0
2016-03-01,170.0
2016-04-01,200.0
2016-05-01,231.0
2016-06-01,261.0
2016-07-01,292.0
2016-08-01,323.0
2016-09-01,353.0
2016-10-01,384.0
2016-11-01,390.0
2017-02-01,418.0
2017-03-01,449.0
2017-04-01,479.0
2017-05-01,510.0
2017-06-01,540.0
2017-07-01,571.0
2017-08-01,602.0
2017-09-01,632.0
2017-10-01,663.0
2017-11-01,693.0
2017-12-01,724.0
2018-01-01,755.0
2018-02-01,783.0
2018-03-01,814.0
2018-04-01,844.0
2018-05-01,875.0
2018-06-01,888.0
2018-07-01,895.0
2018-08-01,926.0
2018-09-01,956.0
2018-10-01,987.0
2018-11-01,1017.0
2018-12-01,1048.0
2019-01-01,1079.0
2019-02-01,1107.0
2019-03-01,1138.0
2019-04-01,1168.0
2019-05-01,1199.0
2019-06-01,1229.0
2019-07-01,1260.0
2019-08-01,1291.0
2019-09-01,1321.0
2019-10-01,1352.0
2019-11-01,1382.0
2019-12-01,1413.0
2020-01-01,1444.0
2020-02-01,1473.0
2020-03-01,1504.0
2020-04-01,1534.0
2020-05-01,1565.0
2020-06-01,1595.0
2020-07-01,1626.0
2020-08-01,1657.0
