md,x,y,z
0.0,2119968.49903395,17461751.405715343,-2359.0
125.0,2119968.2693751496,17461751.70099094,-2234.0
225.0,2119966.0712123495,17461751.66818254,-2134.0
325.0,2119962.6919471496,17461750.35584654,-2034.01001
425.0,2119959.54234075,17461747.89521654,-1934.019989
525.0,2119956.6552015496,17461746.05794614,-1834.02002
625.0,2119954.65388915,17461744.319100942,-1734.030029
725.0,2119953.2431279495,17461741.464770142,-1634.030029
825.0,2119953.6368287494,17461738.151121743,-1534.039978
925.0,2119955.04758995,17461734.804664943,-1434.0399779999998
1025.0,2119956.4911595494,17461732.17999294,-1334.050049
1125.0,2119958.8205559496,17461729.981830142,-1234.050049
1225.0,2119961.24837755,17461727.61962534,-1134.060059
1325.0,2119963.0528395493,17461725.651121344,-1034.060059
1425.0,2119963.0856479495,17461724.92933654,-934.0600589999999
1525.0,2119962.0685875495,17461726.99626574,-834.0600589999999
1625.0,2119962.1013959497,17461730.342722543,-734.0699460000001
1725.0,2119963.3153067497,17461732.77054414,-634.0699460000001
1740.0,2119963.5121571496,17461733.164244942,-619.0699460000001
1846.0,2119965.0541519495,17461735.39521614,-513.0799559999998
1940.0,2119967.35073995,17461736.01857574,-419.0799559999998
2035.0,2119971.09089755,17461738.643247742,-324.089966
2130.0,2119977.8166195494,17461746.94377294,-229.1499020000001
2225.0,2119987.79037315,17461761.60912774,-134.30004899999994
2319.0,2119999.83105595,17461780.83485014,-40.56005899999991
2414.0,2120010.7890615496,17461799.04351214,54.21997099999999
2509.0,2120017.5475919493,17461812.626189742,149.1000979999999
2604.0,2120021.8783007497,17461823.584195342,244.030029
2698.0,2120024.9294852302,17461832.015954144,337.98999000000003
2793.0,2120029.5226579495,17461840.90703382,432.9399410000001
2888.0,2120035.9859127495,17461851.372906864,527.8701170000004
2983.0,2120043.0069070687,17461862.101263504,622.790039
3078.0,2120050.5200339495,17461873.71542726,717.699951
3173.0,2120057.4426096305,17461885.395220943,812.610107
3268.0,2120063.7746308306,17461897.304673422,907.5200199999999
3363.0,2120070.8612452303,17461909.21411278,1002.419922
3457.0,2120079.096147069,17461920.13931654,1096.330078
3551.0,2120087.9216165114,17461929.94902158,1190.23999
3646.0,2120096.714267711,17461938.28235846,1285.169922
3741.0,2120105.506905788,17461945.631446622,1380.110107
3835.0,2120114.3323752303,17461951.93065286,1474.0500490000004
3930.0,2120122.9281727495,17461957.14718846,1569.0
4025.0,2120131.688022111,17461961.871607903,1663.9499509999996
4120.0,2120141.8586195493,17461966.005472865,1758.8901369999994
4215.0,2120153.1119007496,17461969.48315342,1853.8198240000002
4310.0,2120164.5948407496,17461972.00939038,1948.7597659999992
4404.0,2120175.815310269,17461974.37159846,2042.6899409999996
4499.0,2120186.773315869,17461976.96346534,2137.6298829999996
4594.0,2120198.0594120305,17461979.456910305,2232.5600590000004
4689.0,2120210.526590907,17461982.409672868,2327.47998
4783.0,2120221.287765792,17461984.017277904,2421.419922
4878.0,2120230.0476020304,17461982.836172223,2516.3901369999994
4972.0,2120238.807438269,17461981.228567183,2610.350098
5067.0,2120246.517408988,17461980.44114918,2705.319824
5162.0,2120253.636851473,17461979.62093918,2800.2900390000004
5256.0,2120260.03447963,17461979.42409534,2894.27002
5351.0,2120264.201133307,17461980.44114918,2989.259765999999
5446.0,2120267.252317788,17461982.08156918,3084.259765999999
5541.0,2120270.2378920303,17461983.5907523,3179.25
5636.0,2120273.223443307,17461984.67343278,3274.25
5730.0,2120276.537098269,17461986.379485983,3368.240234000001
5825.0,2120279.457045869,17461988.2823535,3463.22998
5920.0,2120280.966228988,17461990.218062222,3558.22998
6015.0,2120282.081727711,17461993.6301391,3653.2202150000003
6110.0,2120284.017410188,17461998.256110378,3748.2099609999996
6206.0,2120287.1014096304,17462003.57108102,3844.1899409999996
6301.0,2120290.9728008304,17462008.5579447,3939.169922
6397.0,2120295.1722727492,17462012.33091726,4035.160156
6490.0,2120300.618476992,17462016.66162278,4128.129883
6584.0,2120309.214261388,17462022.63275158,4222.080078
6679.0,2120317.646020188,17462027.619641505,4317.029785
6773.0,2120323.1906496305,17462029.0631947,4411.009765999999
6868.0,2120329.719511388,17462026.110458385,4505.990234000001
6963.0,2120336.4452465116,17462018.958227184,4600.939941
7058.0,2120339.82450515,17462010.46083846,4695.899901999999
7152.0,2120340.64471515,17462003.243000302,4789.870117
7246.0,2120340.939980907,17461995.533032864,4883.839844
7341.0,2120340.382241388,17461985.821723502,4978.790039
7435.0,2120338.5121658687,17461973.87946918,5072.720215
7529.0,2120338.020033307,17461964.332237903,5166.669922
7624.0,2120340.119770907,17461960.690502223,5261.660156
7719.0,2120341.46492515,17461958.5907679,5356.660156
7813.0,2120341.0056108306,17461954.68655846,5450.649901999999
7908.0,2120340.6775301113,17461948.649812862,5545.629883
8002.0,2120340.9071889115,17461941.03826406,5639.609863
8097.0,2120340.251007788,17461931.5238379,5734.560059
8192.0,2120338.216900111,17461921.615697823,5829.509765999999
8287.0,2120335.4281664263,17461913.413597822,5924.469727
8382.0,2120331.7208270687,17461905.966091022,6019.440430000001
8477.0,2120327.488540188,17461897.403095342,6114.400390999999
8571.0,2120322.3704396305,17461887.26529974,6208.330078000001
8666.0,2120316.1696520303,17461875.61832102,6303.25
8761.0,2120309.47673515,17461862.75742166,6398.139648
8856.0,2120301.241820188,17461849.24036414,6493.019531
8950.0,2120291.596166992,17461835.16556382,6586.879883
9045.0,2120281.622410111,17461820.53301414,6681.719727
9140.0,2120270.3691289113,17461805.178679664,6776.549805000001
9235.0,2120258.1644008304,17461791.53038854,6871.379883
9329.0,2120249.0108539495,17461786.93721254,6965.320312
9424.0,2120243.695883307,17461790.41490294,7060.299805000001
9519.0,2120241.071227711,17461796.41884014,7155.280273
9611.0,2120241.0384127493,17461804.19443094,7247.25
9712.0,2120243.6630945923,17461815.05401134,7348.190430000001
9806.0,2120247.2391970684,17461825.683929663,7442.129883
9900.0,2120250.224774592,17461835.329602543,7536.080078000001
9995.0,2120252.488537788,17461844.351912543,7631.030273
10058.0,2120254.358613307,17461850.749553822,7694.0
10090.0,2120256.6552177113,17461855.73642406,7725.9599610000005
10121.0,2120261.707714592,17461863.708868545,7756.820312
10153.0,2120270.500365792,17461875.191808544,7788.509765999999
10184.0,2120282.311386511,17461889.26661214,7819.0
10216.0,2120297.731321388,17461907.081576623,7850.179688
10248.0,2120316.530547711,17461928.538273502,7880.969727
10279.0,2120338.4793509073,17461952.81647966,7910.320312
10310.0,2120364.8901227494,17461981.195752222,7938.969727
10342.0,2120396.812705792,17462015.086835984,7967.639648
10374.0,2120432.6394720306,17462053.8991535,7995.2900389999995
10405.0,2120470.5987645835,17462095.697071504,8021.070312
10437.0,2120511.445261954,17462141.628831502,8047.019531
10468.0,2120552.127658269,17462188.51201542,8071.570312
10500.0,2120596.878315869,17462240.414927185,8095.799805000001
10531.0,2120643.695915792,17462294.253524706,8117.889648
10563.0,2120695.9268820304,17462352.619645342,8139.190430000001
10595.0,2120752.0948464265,17462413.44639598,8158.849609000001
10626.0,2120810.4281783453,17462474.076355264,8176.259765999999
10657.0,2120871.320562184,17462536.641947817,8192.160156
10689.0,2120935.264199401,17462604.42411534,8206.879883
10720.0,2120998.387531473,17462672.56712605,8219.509766
10752.0,2121065.1198039497,17462743.82697413,8231.259766
10783.0,2121130.1460757153,17462814.75871853,8241.30957
10815.0,2121194.909827788,17462892.120981503,8250.089844
10846.0,2121254.883576426,17462970.959563423,8257.129883
10878.0,2121314.004277137,17463055.93329974,8262.410156
10910.0,2121370.07392132,17463144.187876053,8265.169922
10941.0,2121423.190730762,17463230.834873576,8266.230469
10970.0,2121472.4360702643,17463312.232504133,8266.730469
11009.0,2121538.9387594005,17463421.51727797,8267.089844
11041.0,2121593.531887788,17463511.215532154,8267.110352
11136.0,2121756.655354294,17463776.76672832,8267.700195
11230.0,2121915.0870457157,17464041.2351915,8269.849609
11262.0,2121966.2680709753,17464132.836188532,8270.709961
11293.0,2122014.2667765794,17464222.468763575,8271.370117
11324.0,2122060.428218345,17464313.085547972,8271.959961
11355.0,2122105.9662939496,17464404.030537758,8272.400391
11385.0,2122149.568585371,17464492.25217116,8272.469727
11416.0,2122193.0725565795,17464584.181373574,8272.089844
11448.0,2122236.0516786897,17464679.91625853,8271.339844
11479.0,2122276.766817788,17464773.09219655,8270.379883
11509.0,2122314.332475158,17464863.97150392,8269.450195
11539.0,2122349.8966692095,17464955.736503575,8268.69043
11570.0,2122386.0844295537,17465050.749702152,8267.980469
11601.0,2122419.5161957154,17465146.77995129,8267.509766
11631.0,2122448.5187097667,17465240.841378182,8267.30957
11662.0,2122477.0948983454,17465338.446368184,8267.169922
11693.0,2122503.2759392094,17465436.707765687,8267.160156
11724.0,2122527.423072528,17465535.49381215,8267.269531
11755.0,2122550.4872727413,17465634.542178184,8267.410156
11785.0,2122570.237995158,17465730.966114998,8267.400391
11816.0,2122587.8232483454,17465831.16309655,8267.370117
11848.0,2122604.030607788,17465934.870399736,8267.629883
11878.0,2122616.4649192095,17466032.508230947,8267.959961
11909.0,2122626.832485158,17466133.65638379,8268.179688
11940.0,2122635.100264294,17466235.03441853,8268.299805
11971.0,2122641.1368983453,17466336.57665931,8268.200195
12062.0,2122653.3743692096,17466634.837534998,8267.080078
12155.0,2122661.379625371,17466939.75901129,8264.910156
12246.0,2122668.0398257156,17467238.118410602,8262.299805
12338.0,2122671.2549865795,17467539.857166976,8260.299805
12430.0,2122668.5318336054,17467841.629168104,8258.389648
12522.0,2122662.3640381326,17468143.269404132,8255.610352
12612.0,2122654.227417137,17468438.348363705,8254.259766
12703.0,2122642.4493163666,17468736.675318792,8254.410156
12795.0,2122628.341543605,17469038.18419655,8254.019531
12888.0,2122620.2708051577,17469343.13811379,8252.769531
12981.0,2122615.9400701113,17469648.190551374,8250.990234
13073.0,2122609.115867137,17469949.863631893,8249.089844
13164.0,2122602.882392528,17470248.322348792,8247.990234
13259.0,2122597.8626121837,17470559.969310865,8248.269531
13354.0,2122592.481985371,17470871.616269656,8248.790039
13448.0,2122586.2156695537,17471179.94954724,8248.490234
13543.0,2122577.226200762,17471491.465147756,8248.040039
13637.0,2122562.8232639497,17471799.535702236,8247.959961
13732.0,2122550.684116579,17472110.953579653,8247.320312
13826.0,2122551.3403239497,17472419.188336894,8244.719727
13921.0,2122558.098847788,17472730.375531893,8239.830078
14016.0,2122567.4820009754,17473041.56352413,8235.530273
14112.0,2122584.9689339497,17473355.966677237,8233.339844
14206.0,2122605.7367069237,17473663.611109655,8234.089844
14300.0,2122623.7156477883,17473971.320420682,8237.360352
14394.0,2122639.135635158,17474279.16189379,8240.230469
14489.0,2122653.768053605,17474590.18568655,8244.290039
14584.0,2122667.580462184,17474901.110955685,8249.530273
14678.0,2122677.4229821838,17475209.148672234,8252.709961
14773.0,2122683.5581365796,17475520.599390864,8255.849609
14868.0,2122688.676237137,17475832.082146894,8258.5
14962.0,2122692.4164439496,17476140.44746516,8258.299805
15057.0,2122696.8454992096,17476452.061586026,8256.639648
15151.0,2122701.7341181324,17476760.362822928,8254.969727
15245.0,2122707.7707521836,17477068.630421374,8252.980469
15339.0,2122719.745896924,17477376.70097913,8250.730469
15371.0,2122725.4873669236,17477481.524456896,8250.339844
15402.0,2122731.62252132,17477583.033452924,8250.160156
15434.0,2122738.3482039496,17477687.791251555,8249.94043
15465.0,2122744.516199554,17477789.300250866,8249.549805
15497.0,2122751.30756132,17477894.02440776,8248.55957
15528.0,2122759.772184294,17477995.27068068,8247.040039
15560.0,2122769.7458657157,17478099.568712234,8245.150391
15592.0,2122780.605439554,17478203.76902397,8243.019531
15623.0,2122793.171112528,17478304.52349242,8241.219727
15718.0,2122837.4296113197,17478612.757449128,8237.129883
15812.0,2122880.441377788,17478917.77784931,8232.719727
15907.0,2122922.6000897666,17479226.373850003,8229.25
16000.0,2122965.644894294,17479528.440211374,8228.629883
16095.0,2123010.3954009754,17479836.80713397,8230.570312
16189.0,2123053.6368492097,17480142.088652927,8231.519531
16284.0,2123095.598920762,17480450.75033931,8228.299805
16378.0,2123133.9847881324,17480756.360263787,8223.719727
16472.0,2123166.858667137,17481062.758360863,8219.990234
16567.0,2123202.0948592094,17481372.33797379,8217.950195
16661.0,2123240.7104083453,17481678.309945524,8218.629883
16755.0,2123277.324694294,17481984.477356896,8220.089844
16784.0,2123288.0529065793,17482078.998550862,8220.410156
16878.0,2123323.4204569235,17482385.363002926,8221.620117
16972.0,2123359.5094967927,17482691.629738446,8222.129883
17066.0,2123393.466512315,17482998.157596026,8222.179688
17161.0,2123422.3376615327,17483308.459699128,8223.070312
17256.0,2123446.484598001,17483619.155886896,8224.519531
17351.0,2123468.4993067104,17483930.04751758,8224.799805
17446.0,2123488.3153080014,17484241.072110865,8223.530273
17541.0,2123503.210449554,17484552.357822925,8221.980469
17637.0,2123513.6436979193,17484867.089381553,8220.330078
17732.0,2123518.7615983454,17485178.703502417,8219.459961
