time,CUM_PROD_DAYS
2011-03-01,0.0
2011-04-01,22.0
2011-05-01,51.0
2011-06-01,81.0
2011-07-01,112.0
2011-08-01,143.0
2011-09-01,173.0
2011-10-01,183.0
2011-11-01,213.0
2011-12-01,244.0
2012-01-01,275.0
2012-02-01,304.0
2012-03-01,335.0
2012-04-01,365.0
2012-05-01,396.0
2012-06-01,426.0
2012-07-01,457.0
2012-08-01,488.0
2012-09-01,518.0
2012-10-01,549.0
2012-11-01,579.0
2012-12-01,610.0
2013-01-01,641.0
2013-02-01,669.0
2013-03-01,700.0
2013-04-01,730.0
2013-05-01,761.0
2013-07-01,791.0
2013-08-01,818.0
2013-09-01,847.0
2013-10-01,875.0
2013-11-01,896.0
2013-12-01,920.0
2014-01-01,946.0
2014-02-01,973.0
2014-03-01,1003.0
2014-04-01,1033.0
2014-05-01,1049.0
2014-06-01,1075.0
2014-07-01,1104.0
2014-08-01,1133.0
2014-09-01,1156.0
2014-10-01,1176.0
2014-11-01,1198.0
2014-12-01,1208.0
2015-01-01,1235.0
2015-02-01,1254.0
2015-03-01,1265.0
2015-04-01,1270.0
2015-05-01,1291.0
2015-06-01,1315.0
2015-07-01,1341.0
2015-08-01,1360.0
2015-09-01,1387.0
2015-10-01,1418.0
2015-11-01,1448.0
2015-12-01,1454.0
2016-02-01,1472.0
2016-03-01,1503.0
2016-04-01,1532.0
2016-05-01,1533.0
2016-07-01,1557.0
2016-08-01,1588.0
2016-09-01,1615.0
2016-10-01,1646.0
2016-11-01,1676.0
2016-12-01,1698.0
2017-01-01,1726.0
2017-02-01,1754.0
2017-03-01,1785.0
2017-04-01,1815.0
2017-05-01,1846.0
2017-06-01,1876.0
2017-07-01,1884.0
2017-08-01,1902.0
2017-09-01,1930.0
2017-10-01,1955.0
2017-11-01,1985.0
2017-12-01,2016.0
2018-01-01,2047.0
2018-02-01,2075.0
2018-03-01,2106.0
2018-04-01,2136.0
2018-05-01,2167.0
2018-06-01,2180.0
2018-08-01,2196.0
2018-09-01,2225.0
2018-10-01,2244.0
2018-11-01,2272.0
2018-12-01,2301.0
2019-01-01,2332.0
2019-02-01,2343.0
2019-04-01,2359.0
2019-05-01,2390.0
2019-06-01,2420.0
2019-07-01,2431.0
2019-10-01,2462.0
2019-11-01,2492.0
2019-12-01,2523.0
2020-01-01,2554.0
2020-02-01,2583.0
2020-03-01,2614.0
2020-04-01,2644.0
2020-05-01,2675.0
2020-06-01,2705.0
2020-07-01,2736.0
2020-08-01,2767.0
