time,CUM_OIL
2010-04-01,0.0
2010-05-01,20684.0
2010-06-01,40325.0
2010-07-01,55555.0
2010-08-01,68822.0
2010-09-01,76477.0
2010-10-01,85288.0
2010-11-01,87676.0
2010-12-01,90334.0
2011-01-01,91221.0
2011-02-01,99216.0
2011-03-01,108274.0
2011-04-01,115049.0
2011-05-01,115156.0
2011-06-01,116402.0
2011-07-01,122333.0
2011-08-01,127183.0
2011-09-01,134480.0
2011-10-01,139831.0
2011-11-01,143906.0
2011-12-01,148083.0
2012-01-01,151800.0
2012-02-01,155185.0
2012-03-01,157517.0
2012-05-01,157721.0
2012-06-01,157751.0
2012-07-01,161366.0
2012-08-01,165729.0
2012-09-01,169434.0
2012-10-01,172686.0
2012-11-01,173541.0
2012-12-01,176000.0
2013-01-01,179224.0
2013-02-01,181484.0
2013-03-01,181693.0
2013-04-01,183188.0
2013-05-01,183390.0
2013-06-01,186298.0
2013-07-01,187992.0
2013-11-01,189889.0
2013-12-01,192186.0
2014-01-01,195363.0
2014-02-01,198068.0
2014-03-01,200808.0
2014-04-01,203340.0
2014-05-01,205885.0
2014-06-01,208126.0
2014-07-01,208837.0
2014-08-01,210088.0
2014-09-01,214555.0
2014-10-01,215890.0
2014-11-01,216794.0
2014-12-01,216858.0
2015-03-01,216940.0
2015-05-01,222240.0
2015-06-01,225824.0
2015-07-01,230056.0
2015-08-01,230069.0
2015-09-01,233504.0
2015-10-01,235122.0
2015-11-01,235515.0
2015-12-01,246299.0
2016-01-01,252976.0
2016-02-01,258674.0
2016-03-01,267548.0
2016-04-01,275450.0
2016-05-01,284028.0
2016-06-01,291652.0
2016-07-01,296921.0
2016-08-01,301523.0
2016-09-01,306646.0
2016-10-01,309207.0
2016-11-01,312107.0
2017-01-01,315982.0
2017-02-01,324602.0
2017-03-01,329512.0
2017-04-01,331912.0
2017-05-01,338689.0
2017-06-01,346393.0
2017-07-01,352769.0
2017-08-01,359430.0
2017-09-01,364334.0
2017-10-01,369557.0
2017-11-01,373568.0
2017-12-01,376917.0
2018-01-01,377847.0
2018-02-01,381483.0
2018-03-01,385727.0
2018-04-01,390005.0
2018-05-01,394371.0
2018-06-01,397966.0
2018-07-01,401414.0
2018-08-01,405053.0
2018-09-01,408757.0
2018-10-01,411441.0
2018-11-01,411997.0
2018-12-01,413959.0
2019-01-01,416456.0
2019-02-01,419006.0
2019-03-01,419544.0
2019-05-01,421892.0
2019-06-01,424110.0
2019-07-01,425902.0
2019-08-01,427930.0
2019-09-01,429857.0
2019-10-01,431898.0
2019-11-01,433940.0
2019-12-01,435852.0
2020-01-01,438081.0
2020-02-01,439950.0
2020-03-01,441808.0
2020-04-01,443867.0
2020-05-01,444910.0
2020-08-01,446619.0
