md,x,y,z
1618.0,2129287.881643539,17458318.129927807,-670.0
1683.0,2129288.734661939,17458319.17979661,-605.0
1774.0,2129290.506315539,17458322.13255261,-514.0100100000002
1864.0,2129291.7530347393,17458324.36352381,-424.0100100000002
1960.0,2129293.262221139,17458325.019691806,-328.0100100000002
2052.0,2129295.1322999387,17458324.297907006,-236.01000999999997
2145.0,2129297.232037539,17458323.248038206,-143.02001999999993
2240.0,2129299.331775139,17458321.80446861,-48.02001999999993
2333.0,2129301.431512739,17458319.57349741,44.96997099999999
2426.0,2129303.629675539,17458317.50656821,137.969971
2520.0,2129305.663796339,17458316.16142381,231.969971
2613.0,2129307.665108739,17458314.619429007,324.959961
2707.0,2129309.896079939,17458311.92914021,418.959961
2800.0,2129311.963009139,17458308.64830021,511.94995100000006
2895.0,2129313.308153539,17458305.53150221,606.9399410000001
2990.0,2129313.997129939,17458301.92257821,701.9399410000001
3083.0,2129314.4236391387,17458297.88714501,794.929932
3178.0,2129314.620489539,17458294.540688206,889.919922
3269.0,2129314.784531539,17458292.309717007,980.919922
3361.0,2129315.014190339,17458290.24278781,1072.919922
3455.0,2129316.0640591388,17458288.667984605,1166.919922
3547.0,2129317.5732455393,17458287.847774606,1258.919922
3641.0,2129320.197917539,17458287.191606607,1352.9099119999996
3735.0,2129323.544374339,17458286.699480608,1446.9099119999996
3829.0,2129327.0220647394,17458285.977695808,1540.899902
3924.0,2129330.893455939,17458285.748037007,1635.889893
4018.0,2129335.3553983388,17458286.40420501,1729.8798829999996
4109.0,2129340.014191139,17458287.224415008,1820.8701170000004
4203.0,2129343.951199139,17458288.077433407,1914.8598630000006
4296.0,2129346.6414879393,17458288.70079301,2007.8598630000006
4391.0,2129350.119175058,17458289.38976941,2102.850098
4484.0,2129354.613929139,17458290.17717101,2195.839844
4577.0,2129357.73073042,17458291.55512381,2288.839844
4670.0,2129360.060123539,17458295.459323406,2381.819824
4763.0,2129363.8987063393,17458301.856961407,2474.7998049999997
4855.0,2129368.295031939,17458308.64830021,2566.759765999999
4949.0,2129371.67430042,17458318.687670607,2660.7099609999996
5042.0,2129374.62705642,17458328.59580741,2753.649902
5136.0,2129376.5299403393,17458330.79397021,2847.6401369999994
5229.0,2129376.759599139,17458328.72704101,2940.6401369999994
5322.0,2129378.170360339,17458326.692920208,3033.6401369999994
5415.0,2129380.40133482,17458325.150925405,3126.6298829999996
5508.0,2129382.6651078584,17458324.13386501,3219.6298829999996
5602.0,2129384.732040339,17458323.674547408,3313.6298829999996
5696.0,2129387.48794922,17458323.641739007,3407.6201170000004
5791.0,2129391.6874178583,17458322.591870207,3502.6098630000006
5885.0,2129395.952509858,17458321.27953421,3596.600098
5978.0,2129399.56144042,17458320.229665406,3689.600098
6071.0,2129402.2845310583,17458319.015754607,3782.589844
6165.0,2129404.843596101,17458317.73622701,3876.589844
6260.0,2129408.091617858,17458316.62074141,3971.580078
6355.0,2129410.617867939,17458316.25984901,4066.580078
6448.0,2129411.5364998584,17458317.670610208,4159.580078
6542.0,2129412.520761701,17458320.065623406,4253.580078
6637.0,2129413.0456961007,17458322.13255261,4348.569824
6732.0,2129413.472195458,17458324.297907006,4443.569823999999
6826.0,2129414.6532978583,17458326.069560606,4537.569823999999
6920.0,2129416.4577598586,17458327.545938607,4631.560059
7014.0,2129419.508941058,17458328.628615808,4725.560059
7108.0,2129423.4459523386,17458328.989508208,4819.549805
7201.0,2129427.9078947394,17458330.46588621,4912.540039
7296.0,2129433.0260117007,17458332.959324606,5007.52002
7390.0,2129437.947271701,17458334.92782861,5101.509765999999
7485.0,2129441.68742602,17458334.37008581,5196.5
7580.0,2129443.03257042,17458330.859587006,5291.5
7670.0,2129443.590306658,17458325.87271021,5381.47998
7764.0,2129445.0994897773,17458319.967198208,5475.459961
7862.0,2129447.65855482,17458315.275597006,5573.450195
7956.0,2129449.6270522582,17458312.421266206,5667.439941
8049.0,2129450.578499139,17458309.829402607,5760.439941
8143.0,2129452.9078922584,17458308.12336581,5854.439941
8237.0,2129456.254352339,17458307.46719781,5948.429688
8330.0,2129460.519441058,17458307.23753901,6041.419921999999
8424.0,2129465.7687916197,17458308.254599407,6135.410156
8517.0,2129471.3462097775,17458309.829402607,6228.389648
8611.0,2129477.3829553775,17458309.59974381,6322.370117
8704.0,2129483.81341162,17458307.893707007,6415.349609000001
8798.0,2129491.326525377,17458306.61417941,6509.320312
8891.0,2129495.00107602,17458304.744100608,6602.309569999999
8984.0,2129493.8527754582,17458302.972447008,6695.309569999999
9078.0,2129492.802906658,17458301.95538661,6789.299805000001
9171.0,2129492.868526739,17458300.150924608,6882.299805000001
9264.0,2129492.802906658,17458298.379271008,6975.299805000001
9358.0,2129493.688736739,17458297.16536021,7069.299805000001
9449.0,2129495.4931954583,17458296.08268301,7160.299805000001
9544.0,2129497.39608922,17458296.64042581,7255.299805000001
9636.0,2129499.7582973004,17458298.510504607,7347.2900389999995
9731.0,2129502.67824162,17458301.23360181,7442.280273
9825.0,2129507.0745573775,17458304.41601661,7536.269531
9853.0,2129508.8133960157,17458305.433077008,7564.259765999999
9919.0,2129509.4039504966,17458307.729665007,7630.25
9949.0,2129504.285846658,17458308.77953381,7660.200194999999
9980.0,2129491.5233823387,17458309.501318607,7690.950194999999
10011.0,2129471.641485377,17458308.746725406,7721.349609000001
