md,x,y,z
0.0,2094046.9407236527,17477586.91819616,-1951.0
92.1999969482422,2094046.9307236527,17477586.90819616,-1858.800003
185.19000244140625,2094046.9107236527,17477586.93819616,-1765.809998
278.07000732421875,2094046.8607236529,17477586.98819616,-1672.929993
369.4599914550781,2094046.9107236527,17477586.97819616,-1581.540009
460.6300048828125,2094047.0407236528,17477587.07819616,-1490.369995
551.5599975585939,2094047.2707236528,17477587.48819616,-1399.442017
642.9600219726562,2094047.3407236529,17477588.41819616,-1308.046997
734.1099853515625,2094047.0507236528,17477589.45819616,-1216.903015
825.0999755859375,2094046.5907236529,17477590.26819616,-1125.9180299999998
916.3900146484376,2094046.150723653,17477591.04819616,-1034.632019
1007.4299926757812,2094046.130723653,17477591.91819616,-943.599976
1098.31005859375,2094046.2807236528,17477592.75819616,-852.719971
1188.8699951171875,2094046.380723653,17477593.26819616,-762.160034
1279.9300537109375,2094046.5307236528,17477593.61819616,-671.099976
1370.8199462890625,2094046.6907236527,17477593.95819616,-580.209961
1461.6800537109375,2094046.9707236527,17477594.39819616,-489.3599850000001
1552.510009765625,2094047.370723653,17477594.78819616,-398.530029
1643.9100341796875,2094047.640723653,17477595.05819616,-307.130005
1737.8900146484375,2094047.6107236529,17477595.10819616,-213.1500239999998
1830.9000244140625,2094047.1007236529,17477594.69819616,-120.14001499999996
1924.31005859375,2094045.9807236528,17477593.69819616,-26.739990000000034
1981.449951171875,2094045.0107236528,17477592.80819616,30.380004999999983
2073.0,2094043.4507236527,17477591.14819616,121.89990200000013
2167.0,2094042.0507236528,17477589.24819616,215.8701170000004
2261.0,2094041.0107236528,17477588.01819616,309.860107
2356.0,2094040.390723653,17477587.78819616,404.860107
2450.0,2094039.6907236527,17477587.77819616,498.8500979999999
2544.0,2094038.7307236528,17477587.82819616,592.8500979999999
2637.0,2094037.8507236529,17477588.03819616,685.8400879999999
2732.0,2094037.390723653,17477588.31819616,780.8400879999999
2825.0,2094037.3507236529,17477588.52819616,873.8400879999999
2919.0,2094037.3507236529,17477588.678196162,967.840088
