Well_ID,md_top,md_bot,PERF
01-69-1HN-5123377350000,7782.0,11571.0,1
01-99HZ-5123306860000,7513.0,11253.0,1
04-64-1HN-5123362860000,7550.0,11290.0,1
04-67-1HN-5123362840000,7644.0,11197.0,1
07-99HZ-5123327680000,7440.0,11548.0,1
10N-5123468550000,7399.0,17306.0,1
11-099HC-5123464080000,8197.0,17709.0,1
11-369HC-5123417460000,7838.0,14588.0,1
11-4-5NM-A-5123431720000,13234.0,13384.0,1
11N-5123468510000,7502.0,17329.0,1
12N-5123468600000,7583.0,17138.0,1
13-1-5123291520000,7854.0,9756.0,1
13N-15HZ-5123370000000,7541.0,12093.0,1
13N-22HZ-5123363130000,7588.0,12125.0,1
13O-403-5123413860000,7866.0,14430.0,1
13S-203-5123388320000,7748.0,14254.0,1
13W-243-5123388310000,7659.0,14190.0,1
13W-403-5123388300000,7821.0,14338.0,1
15C-22HZ-5123364480000,8126.0,12753.0,1
15N-15HZ-5123370100000,7603.0,12110.0,1
15N-22HZ-5123348320000,7783.0,11631.0,1
16C-22HZ-5123364470000,7835.0,12238.0,1
16N-15HZ-5123370110000,7897.0,12370.0,1
16N-22HZ-5123365210000,7645.0,12088.0,1
17-65HN-5123332810000,7397.0,11289.0,1
18N-24HZ-5123371880000,7880.0,13507.0,1
1C-24HZ-5123394980000,8067.0,13574.0,1
1C-36HZ-5123399630000,8026.0,12590.0,1
1N-35HZ-5123351660000,7825.0,11623.0,1
1N-5123468860000,7536.0,17321.0,1
2-15HZ-5123333390000,7478.0,12315.0,1
2-19-19-5123403100000,9049.0,12805.0,1
2-5123416660000,8037.0,8557.0,1
2-5123416660000,8642.0,14231.0,1
20G-202-5123407170000,7720.0,11568.0,1
20G-232-5123407150000,7683.0,11487.0,1
20G-332-5123407140000,7760.0,11595.0,1
20H-202-5123407180000,7616.0,11412.0,1
20H-232-5123407280000,7496.0,11568.0,1
20H-302-5123407160000,7705.0,11521.0,1
20H-332-5123407300000,7732.0,11578.0,1
20I-312-5123407290000,7542.0,11639.0,1
20I-402-5123407270000,7824.0,11669.0,1
20W-25-1-5123411370000,7570.0,19792.0,1
20W-25-17-5123450330000,7487.0,19663.0,1
22D-402-5123378000000,7502.0,12701.0,1
22G-232-5123433910000,7486.0,11443.0,1
22G-302-5123433920000,7437.0,11589.0,1
22H-212-5123433900000,7386.0,11525.0,1
22H-232-5123433940000,7534.0,11619.0,1
22H-302-5123433890000,7486.0,11629.0,1
22H-312-5123433960000,7462.0,11644.0,1
22H-332-5123433930000,7509.0,11785.0,1
22H-402-5123433970000,7634.0,11782.0,1
22I-212-5123433950000,7612.0,11779.0,1
22I-302-5123433980000,7736.0,11912.0,1
25-63-1HN-5123348130000,7608.0,11322.0,1
25-64-1HN-5123348140000,7423.0,10510.0,1
25-67-1HN-5123383660000,7672.0,15741.0,1
25-69-1HNL-5123383650000,7606.0,16876.0,1
25C-7HZ-5123374380000,7873.0,11957.0,1
25G-402-5123373630000,7381.0,11435.0,1
26C-21HZ-5123409470000,7482.0,12474.0,1
26N-13HZ-5123365550000,7769.0,11695.0,1
26N-14HZ-5123389990000,7894.0,13749.0,1
26P-412-5123440920000,7232.0,15305.0,1
27-63HN-5123335510000,7500.0,12439.0,1
27C-29HZX-5123351160100,7742.0,11635.0,1
27H-232-5123435210000,7137.0,14182.0,1
27N-13HZ-5123365510000,7706.0,11744.0,1
27N-14HZ-5123390020000,7732.0,13760.0,1
27N-29HZ-5123351150000,7367.0,11400.0,1
27N-36HZX-5123399640100,7885.0,12917.0,1
28-5HZ-5123500900000,7653.0,18093.0,1
28C-21HZ-5123409490000,7511.0,12585.0,1
28C-24HZ-5123369380000,8054.0,13637.0,1
28E-202-5123405440000,7603.0,11454.0,1
28E-234-5123405510000,7548.0,14149.0,1
28E-404-5123405610000,7786.0,14389.0,1
28E-432-5123405590000,7778.0,11598.0,1
28F-202-5123405540000,7612.0,11429.0,1
28F-214-5123406030000,7492.0,14092.0,1
28F-234-5123405530000,7530.0,14157.0,1
28F-304-5123405490000,7626.0,14226.0,1
28F-312-5123405450000,7643.0,11546.0,1
28F-314-5123405430000,7641.0,14198.0,1
28G-212-5123405420000,7452.0,11649.0,1
28G-214-5123405460000,7527.0,14296.0,1
28G-312-5123405520000,7742.0,11638.0,1
28G-314-5123405410000,7727.0,14255.0,1
28N-13HZ-5123365560000,7691.0,11770.0,1
28N-14HZ-5123363410000,7702.0,12518.0,1
28N-14HZ-5123390000000,7710.0,13663.0,1
28N-20HZ-5123351360000,7455.0,16303.0,1
28N-21HZ-5123410020000,7406.0,12600.0,1
28X-234-5123419470000,7532.0,14555.0,1
28X-314-5123419450000,7790.0,14705.0,1
28Y-214-5123419480000,7499.0,14549.0,1
28Y-314-5123419460000,7614.0,14656.0,1
28Y-404-5123419490000,7723.0,14744.0,1
29C-21HZ-5123409790000,7598.0,12683.0,1
29G-323-5123379660000,7746.0,11452.0,1
29G-403-5123379580000,7939.0,11614.0,1
29K-243-5123379620100,7547.0,11467.0,1
29K-343-5123379670000,7585.0,11533.0,1
29K-403-5123379650000,7970.0,11565.0,1
29N-13HZ-5123365200000,7675.0,11734.0,1
29N-14HZ-5123363440000,7570.0,12188.0,1
29N-24HZ-5123371910000,7885.0,13543.0,1
29O-332-5123403400000,7699.0,14954.0,1
29O-432-5123403380000,7781.0,14964.0,1
29P-212-5123403390000,7577.0,14858.0,1
2B-2H-5123358100000,7800.0,11446.0,1
2C-21HZ-5123409630000,7557.0,12568.0,1
2E-26H-C266-5123377590300,7785.0,14402.0,1
2G-19HZ-5123400900000,8000.0,12022.0,1
2M-303-5123373340000,7627.0,11575.0,1
2M-423-5123373500000,7714.0,11748.0,1
2N-13HZ-5123365520000,7644.0,11768.0,1
2N-14HZ-5123390010000,7705.0,13681.0,1
2N-36HZ-5123399620000,7934.0,12989.0,1
2N-5123468900000,7483.0,16857.0,1
2R-243-5123373460000,7562.0,11550.0,1
2R-323-5123373120000,7608.0,11570.0,1
2R-403-5123373090000,7699.0,11688.0,1
2U-203-5123373100000,7587.0,11590.0,1
2U-443-5123373110000,7682.0,11724.0,1
30-64-1HN-5123348120000,7632.0,11504.0,1
30-65HNX-5123346350100,7642.0,11562.0,1
30C-30-M-5123455090000,7856.0,15421.0,1
30C-8HZ-5123375730000,7872.0,12393.0,1
30G-303-5123380070000,7756.0,11724.0,1
30G-423-5123380090000,7716.0,11766.0,1
30K-123-5123379710000,7504.0,11431.0,1
30K-403-5123379770000,7687.0,11776.0,1
