time,CUM_PROD_DAYS
2010-10-01,0.0
2010-11-01,12.0
2010-12-01,43.0
2011-01-01,74.0
2011-02-01,102.0
2011-03-01,133.0
2011-04-01,163.0
2011-05-01,186.0
2011-06-01,205.0
2011-07-01,235.0
2011-08-01,266.0
2011-09-01,296.0
2011-10-01,327.0
2011-11-01,357.0
2011-12-01,388.0
2012-01-01,419.0
2012-02-01,448.0
2012-03-01,479.0
2012-04-01,509.0
2012-05-01,540.0
2012-06-01,570.0
2012-07-01,591.0
2012-08-01,622.0
2012-09-01,652.0
2012-10-01,683.0
2012-11-01,713.0
2012-12-01,744.0
2013-01-01,775.0
2013-02-01,803.0
2013-03-01,834.0
2013-04-01,863.0
2013-05-01,894.0
2013-06-01,924.0
2013-07-01,955.0
2013-08-01,986.0
2013-09-01,1016.0
2013-10-01,1047.0
2013-11-01,1077.0
2013-12-01,1106.0
2014-01-01,1123.0
2014-02-01,1151.0
2014-03-01,1182.0
2014-04-01,1212.0
2014-05-01,1243.0
2014-06-01,1273.0
2014-07-01,1303.0
2014-08-01,1334.0
2014-09-01,1364.0
2014-10-01,1395.0
2014-11-01,1425.0
2014-12-01,1456.0
2015-01-01,1487.0
2015-02-01,1515.0
2015-03-01,1546.0
2015-04-01,1576.0
2015-05-01,1607.0
2015-06-01,1637.0
2015-07-01,1668.0
2015-08-01,1699.0
2015-09-01,1708.0
2015-10-01,1735.0
2015-11-01,1765.0
2015-12-01,1796.0
2016-01-01,1827.0
2016-02-01,1856.0
2016-03-01,1887.0
2016-04-01,1917.0
2016-05-01,1947.0
2016-06-01,1976.0
2017-02-01,1978.0
2017-03-01,2001.0
2017-04-01,2031.0
2017-05-01,2062.0
2017-06-01,2092.0
2017-07-01,2123.0
2017-08-01,2153.0
2017-09-01,2182.0
2017-10-01,2213.0
2017-11-01,2243.0
2017-12-01,2274.0
2018-01-01,2305.0
2018-02-01,2333.0
2018-03-01,2364.0
2018-04-01,2394.0
2018-05-01,2425.0
2018-06-01,2455.0
2018-07-01,2486.0
2018-08-01,2517.0
2018-09-01,2534.0
2018-10-01,2564.0
2018-11-01,2594.0
2018-12-01,2625.0
2019-01-01,2656.0
2019-02-01,2684.0
2019-03-01,2715.0
2019-04-01,2745.0
2019-05-01,2776.0
2019-06-01,2806.0
2019-07-01,2837.0
2019-08-01,2868.0
2019-09-01,2898.0
2019-10-01,2929.0
2019-11-01,2959.0
2019-12-01,2990.0
2020-01-01,2995.0
2020-03-01,3021.0
2020-04-01,3039.0
2020-06-01,3068.0
2020-07-01,3099.0
2020-08-01,3130.0
