md,x,y,z
2065.0,2128323.143321678,17462359.294976376,-174.0
2110.0,2128323.9307232783,17462360.541695576,-129.0
2206.0,2128325.932035678,17462366.545632776,-33.02001999999993
2302.0,2128325.932035678,17462373.501013577,62.949951000000056
2399.0,2128325.538334878,17462381.80153878,159.91992200000004
2495.0,2128326.621012078,17462391.578441978,255.8701170000004
2591.0,2128329.278492478,17462401.814662777,351.820068
2683.0,2128332.6249492783,17462411.65718278,443.76000999999997
2783.0,2128336.496340478,17462422.549574856,543.699951
2879.0,2128339.941222478,17462432.85140918,639.6499020000001
2975.0,2128343.123637278,17462442.49708206,735.6000979999999
3072.0,2128346.1420100783,17462451.256924856,832.550049
3168.0,2128349.2588080782,17462459.09812918,928.5200199999999
3264.0,2128352.933348878,17462466.15193518,1024.48999
3360.0,2128357.395291278,17462472.1230607,1120.459961
3456.0,2128362.2509344784,17462477.175557576,1216.4399409999996
3552.0,2128367.2050028783,17462481.407844458,1312.419922
3648.0,2128371.798178878,17462484.45902894,1408.399902
3745.0,2128371.732562078,17462485.73855326,1505.399902
3841.0,2128369.403165678,17462483.081069577,1601.389893
3937.0,2128371.765370478,17462481.3094127,1697.3798829999996
4033.0,2128376.6538187973,17462482.785790697,1793.3701170000004
4129.0,2128379.672194878,17462483.14668638,1889.3701170000004
4226.0,2128379.869048559,17462482.81860894,1986.3701170000004
4321.0,2128376.555400159,17462483.966896378,2081.3598630000006
4417.0,2128368.8454228784,17462489.905220058,2177.3100590000004
4513.0,2128365.138073678,17462495.515453175,2273.2797849999997
4609.0,2128370.846735278,17462496.17162446,2369.259765999999
4705.0,2128381.8703576783,17462494.826480057,2465.2001950000003
4801.0,2128393.681381678,17462492.39865518,2561.1298829999996
4897.0,2128405.3283603974,17462489.347470697,2657.0600590000004
4993.0,2128417.0737675973,17462486.55876326,2752.990234000001
5089.0,2128427.834926078,17462485.31204078,2848.930176
5185.0,2128437.1853135163,17462485.54169958,2944.8901369999994
5282.0,2128438.267997278,17462485.04958014,3041.8798829999996
5378.0,2128432.362488559,17462486.427526377,3137.8598630000006
5474.0,2128425.4399128784,17462487.90390766,3233.839844
5570.0,2128424.783744878,17462487.608632058,3329.830078
5666.0,2128431.2798047974,17462487.90390766,3425.8100590000004
5762.0,2128437.054089759,17462487.7070507,3521.7900390000004
5858.0,2128442.369047278,17462487.37897326,3617.7797849999997
5955.0,2128447.749624878,17462487.280538216,3714.759765999999
6051.0,2128452.8349235975,17462487.575813815,3810.75
6147.0,2128457.1656291164,17462487.73986894,3906.740234000001
6243.0,2128460.6761279167,17462487.050882697,4002.72998
6339.0,2128464.9084147974,17462486.296289496,4098.72998
6435.0,2128471.7981853588,17462487.21493454,4194.700195
6532.0,2128480.0002853586,17462489.478707578,4291.669922
6627.0,2128488.300807278,17462491.64406198,4386.629883
6722.0,2128496.765367917,17462493.087628298,4481.589844
6817.0,2128504.6065853587,17462493.842218217,4576.560059
6913.0,2128512.57902984,17462494.498389497,4672.529785
7006.0,2128520.715509759,17462495.023323897,4765.5
7102.0,2128530.295555997,17462496.04038758,4861.450195
7198.0,2128540.859867359,17462497.1886783,4957.399901999999
7292.0,2128550.5055435207,17462497.910466377,5051.350098000001
7387.0,2128560.5120891165,17462498.73067638,5146.299805
7481.0,2128572.782424155,17462500.961647578,5240.22998
7574.0,2128585.7745735208,17462504.045633897,5333.140137
7669.0,2128598.3401710354,17462506.83435446,5428.060059
7764.0,2128611.102638636,17462510.016762696,5522.970215
7858.0,2128623.1761298357,17462513.396034457,5616.890137
7954.0,2128634.363807359,17462517.2346107,5712.830078
8048.0,2128645.354614797,17462520.909148216,5806.759765999999
8143.0,2128656.7391328784,17462523.632251978,5901.689941
8237.0,2128667.9595991164,17462525.207055178,5995.629883
8331.0,2128678.359858636,17462526.092881978,6089.580078000001
8426.0,2128687.6446391162,17462526.683433175,6184.530273
8520.0,2128696.8638192015,17462526.81467006,6278.490234000001
8614.0,2128705.85331424,17462526.585014537,6372.450194999999
8707.0,2128714.285069759,17462526.4209627,6465.419921999999
8802.0,2128722.8480654396,17462526.486579496,6560.379883
8898.0,2128731.082954155,17462526.22411886,6656.349609000001
8994.0,2128739.02260664,17462526.02726518,6752.320312
9088.0,2128746.8309959974,17462525.79760638,6846.2900389999995
9183.0,2128754.475359759,17462525.46952894,6941.259765999999
9276.0,2128761.9884636737,17462525.567947578,7034.230469
