time,CUM_GAS
2015-09-01,0.0
2015-10-01,15042.0
2015-11-01,30926.0
2015-12-01,45346.0
2016-01-01,57966.0
2016-02-01,68423.0
2016-03-01,75321.0
2016-04-01,81700.0
2016-05-01,87533.0
2016-06-01,92658.0
2016-07-01,97501.0
2016-08-01,101812.0
2016-09-01,105522.0
2016-10-01,109234.0
2016-11-01,109704.0
2017-02-01,110822.0
2017-03-01,115766.0
2017-04-01,119781.0
2017-05-01,122835.0
2017-06-01,125161.0
2017-07-01,127113.0
2017-08-01,128895.0
2017-09-01,130622.0
2017-10-01,132380.0
2017-11-01,134085.0
2017-12-01,135756.0
2018-01-01,137329.0
2018-02-01,138728.0
2018-03-01,140170.0
2018-04-01,141299.0
2018-05-01,142556.0
2018-06-01,143171.0
2018-07-01,143897.0
2018-08-01,148672.0
2018-09-01,152531.0
2018-10-01,155290.0
2018-11-01,157501.0
2018-12-01,159555.0
2019-01-01,161102.0
2019-02-01,162659.0
2019-03-01,164432.0
2019-04-01,166085.0
2019-05-01,167952.0
2019-06-01,170007.0
2019-07-01,173460.0
2019-08-01,176206.0
2019-09-01,178433.0
2019-10-01,179938.0
2019-11-01,180471.0
2019-12-01,180476.0
2020-01-01,182880.0
2020-02-01,184867.0
2020-03-01,186669.0
2020-04-01,188291.0
2020-05-01,189856.0
2020-06-01,191513.0
2020-07-01,193351.0
2020-08-01,195332.0
