time,CUM_WTR
2015-09-01,0.0
2015-10-01,15647.0
2015-11-01,27671.0
2015-12-01,38691.0
2016-01-01,44485.0
2016-02-01,49348.0
2016-03-01,53379.0
2016-04-01,56924.0
2016-05-01,60417.0
2016-06-01,63895.0
2016-07-01,67384.0
2016-08-01,70516.0
2016-09-01,72968.0
2016-10-01,75488.0
2016-11-01,75867.0
2017-02-01,76808.0
2017-03-01,80148.0
2017-04-01,83060.0
2017-05-01,85210.0
2017-06-01,86757.0
2017-07-01,87970.0
2017-08-01,89118.0
2017-09-01,90221.0
2017-10-01,91458.0
2017-11-01,92468.0
2017-12-01,93488.0
2018-01-01,94465.0
2018-02-01,95340.0
2018-03-01,96193.0
2018-04-01,96883.0
2018-05-01,97608.0
2018-06-01,97911.0
2018-07-01,98589.0
2018-08-01,101272.0
2018-09-01,103560.0
2018-10-01,105884.0
2018-11-01,107522.0
2018-12-01,109262.0
2019-01-01,110339.0
2019-02-01,111312.0
2019-03-01,112355.0
2019-04-01,113283.0
2019-05-01,114400.0
2019-06-01,115357.0
2019-07-01,117507.0
2019-08-01,119374.0
2019-09-01,120896.0
2019-10-01,121986.0
2019-11-01,122329.0
2019-12-01,122466.0
2020-01-01,124196.0
2020-02-01,125815.0
2020-03-01,127588.0
2020-04-01,129221.0
2020-05-01,130734.0
2020-06-01,132226.0
2020-07-01,133619.0
2020-08-01,134999.0
