time,CUM_WTR
2011-03-01,0.0
2011-04-01,4996.0
2011-05-01,8527.0
2011-06-01,10841.0
2011-07-01,12810.0
2011-08-01,14539.0
2011-09-01,15706.0
2011-10-01,19827.0
2011-11-01,21223.0
2011-12-01,22830.0
2012-01-01,24150.0
2012-02-01,25116.0
2012-03-01,25962.0
2012-04-01,27523.0
2012-05-01,28571.0
2012-06-01,29246.0
2012-07-01,29793.0
2012-08-01,31928.0
2012-09-01,33156.0
2012-10-01,34239.0
2012-11-01,35167.0
2012-12-01,36071.0
2013-01-01,36868.0
2013-02-01,37506.0
2013-03-01,38237.0
2013-04-01,38792.0
2013-05-01,38968.0
2013-07-01,40086.0
2013-08-01,40858.0
2013-09-01,41598.0
2013-10-01,42365.0
2013-11-01,42680.0
2013-12-01,42982.0
2014-01-01,43612.0
2014-02-01,44434.0
2014-03-01,45264.0
2014-04-01,46069.0
2014-05-01,46708.0
2014-06-01,47655.0
2014-07-01,48561.0
2014-08-01,49291.0
2014-09-01,49651.0
2014-10-01,50151.0
2014-11-01,50471.0
2014-12-01,50581.0
2015-01-01,52108.0
2015-02-01,52522.0
2015-03-01,52664.0
2015-04-01,52677.0
2015-05-01,53230.0
2015-06-01,53585.0
2015-07-01,53782.0
2015-08-01,54050.0
2015-09-01,54293.0
2015-10-01,54388.0
2015-11-01,54405.0
2015-12-01,54485.0
2016-02-01,54582.0
2016-03-01,55027.0
2016-04-01,55422.0
2016-05-01,55422.0
2016-07-01,72674.0
2016-08-01,83508.0
2016-09-01,94550.0
2016-10-01,106997.0
2016-11-01,117306.0
2016-12-01,122453.0
2017-01-01,130588.0
2017-02-01,137905.0
2017-03-01,145228.0
2017-04-01,151835.0
2017-05-01,157760.0
2017-06-01,162253.0
2017-07-01,162258.0
2017-08-01,164530.0
2017-09-01,168172.0
2017-10-01,171562.0
2017-11-01,175412.0
2017-12-01,179098.0
2018-01-01,182418.0
2018-02-01,184765.0
2018-03-01,187529.0
2018-04-01,189685.0
2018-05-01,191690.0
2018-06-01,192148.0
2018-08-01,192973.0
2018-09-01,193949.0
2018-10-01,194629.0
2018-11-01,195792.0
2018-12-01,196810.0
2019-01-01,197795.0
2019-02-01,198047.0
2019-04-01,198898.0
2019-05-01,200450.0
2019-06-01,201900.0
2019-07-01,202050.0
2019-10-01,203471.0
2019-11-01,204818.0
2019-12-01,206334.0
2020-01-01,207904.0
2020-02-01,209395.0
2020-03-01,210892.0
2020-04-01,212367.0
2020-05-01,213816.0
2020-06-01,215393.0
2020-07-01,216819.0
2020-08-01,218106.0
