md,x,y,z
0.0,2125273.199114915,17482718.643299107,-2229.0
100.0,2125273.133498115,17482719.13542511,-2129.0
200.0,2125272.805414115,17482720.054060306,-2029.0
300.0,2125271.853970515,17482721.563246705,-1929.0
400.0,2125270.574442915,17482724.089493506,-1829.01001
500.0,2125269.2292985152,17482727.206291508,-1729.01001
600.0,2125268.048196115,17482730.78240711,-1629.02002
700.0,2125267.326411315,17482733.505504306,-1529.02002
800.0,2125266.3093509153,17482735.834900707,-1429.02002
900.0,2125264.964206515,17482738.820465107,-1329.030029
1000.0,2125263.4550201152,17482741.41232871,-1229.030029
1100.0,2125261.584941315,17482743.34802431,-1129.040039
1200.0,2125259.714862515,17482745.021252707,-1029.040039
1300.0,2125257.976017315,17482746.36639711,-929.040039
1400.0,2125255.941896515,17482746.89133151,-829.040039
1500.0,2125252.267355715,17482746.989756707,-729.050049
1600.0,2125247.346095715,17482747.58030791,-629.0600589999999
1700.0,2125242.588877715,17482748.728601906,-529.0699460000001
1800.0,2125237.470767315,17482750.106554706,-429.089966
1900.0,2125231.762105715,17482750.861147907,-329.0999760000002
2000.0,2125226.545570115,17482751.15642351,-229.11999500000002
2100.0,2125222.1492445148,17482751.84539991,-129.1201170000004
2200.0,2125217.818538996,17482752.567184705,-29.12988299999961
2300.0,2125212.766042115,17482752.76403511,70.85009799999989
2400.0,2125207.483886434,17482752.07505871,170.84008799999992
2500.0,2125202.7266717153,17482750.565872308,270.83007799999996
2600.0,2125198.691241796,17482747.875583507,370.820068
2640.0,2125197.214860515,17482746.661672708,410.8100589999999
2734.0,2125194.393338115,17482743.87295871,504.8100589999999
2829.0,2125192.392028996,17482740.32965151,599.800049
2924.0,2125190.817219234,17482735.998942707,694.790039
3020.0,2125189.078380596,17482731.70104231,790.780029
3115.0,2125187.437960596,17482727.173483107,885.7700199999999
3209.0,2125186.322471715,17482722.744349107,979.76001
3302.0,2125185.108560915,17482718.413640305,1072.75
3398.0,2125183.894653396,17482712.770595506,1168.7299799999996
3494.0,2125182.811976196,17482707.65248511,1264.719971
3589.0,2125179.8264117963,17482705.32308871,1359.709961
3684.0,2125174.7411065153,17482704.371645108,1454.6899409999996
3778.0,2125171.132179234,17482703.354584705,1548.6899409999996
3873.0,2125168.9668281153,17482701.845398307,1643.679932
3967.0,2125167.392024915,17482700.00812791,1737.679932
4062.0,2125164.767356196,17482698.958259106,1832.679932
4157.0,2125160.830344915,17482697.350647505,1927.669922
4252.0,2125156.204360515,17482697.055371907,2022.660156
4347.0,2125151.676798034,17482698.859833907,2117.6401369999994
4441.0,2125149.741102434,17482699.844085906,2211.6401369999994
4535.0,2125150.4300886765,17482698.269282706,2305.6401369999994
4631.0,2125150.7909712344,17482695.054059505,2401.6298829999996
4726.0,2125149.609878677,17482692.035686705,2496.6298829999996
4821.0,2125149.1505512344,17482689.706290305,2591.6298829999996
4916.0,2125145.8040911537,17482686.786342707,2686.6098630000006
5010.0,2125138.684674915,17482683.013376705,2780.580078
5102.0,2125132.615127477,17482680.487129908,2872.5600590000004
5196.0,2125126.315908115,17482679.207602307,2966.5400390000004
5291.0,2125120.049503715,17482677.698415905,3061.52002
5386.0,2125116.473388115,17482676.451696705,3156.509765999999
5481.0,2125114.2424136344,17482675.598678306,3251.509765999999
5575.0,2125107.483893077,17482675.303402707,3345.47998
5671.0,2125096.000953077,17482676.418888308,3441.419922
5765.0,2125087.2739186767,17482677.960883107,3535.3798829999996
5860.0,2125080.974699315,17482679.666919906,3630.3598630000006
5955.0,2125075.397268034,17482680.913639106,3725.339844
6049.0,2125071.9523893152,17482681.471381906,3819.330078
6143.0,2125068.7699712343,17482681.96350791,3913.330078
6238.0,2125063.947142996,17482682.882143106,4008.319824
6333.0,2125058.9274610765,17482684.81783871,4103.299805
6428.0,2125051.643992996,17482685.736473907,4198.27002
6524.0,2125040.554737392,17482683.932011906,4294.209961
6618.0,2125028.6124830726,17482682.619675905,4388.140136999999
6714.0,2125017.0967510766,17482682.291591905,4484.080078
6807.0,2125005.941891796,17482681.504190307,4577.009765999999
6902.0,2124994.2621079576,17482681.27453151,4671.950195
6996.0,2124984.025880596,17482681.536998708,4765.899901999999
7091.0,2124974.347412438,17482682.619675905,4860.850098000001
7186.0,2124965.915627392,17482684.785030305,4955.810059
7282.0,2124961.7817886765,17482687.04880991,5051.799805
7376.0,2124959.7804729957,17482690.23122471,5145.790039
7471.0,2124956.1715555578,17482691.576369107,5240.779785
7566.0,2124951.1846623532,17482690.23122471,5335.77002
7661.0,2124946.3618242727,17482688.000253506,5430.759765999999
7756.0,2124942.588877958,17482684.489754707,5525.740234000001
7851.0,2124937.241092353,17482682.455633905,5620.72998
7946.0,2124928.382837477,17482681.143297907,5715.689941
8041.0,2124917.916948034,17482679.896578707,5810.629883
8137.0,2124907.418269877,17482678.354583908,5906.580078
8231.0,2124897.641356834,17482675.369019505,6000.530273
8325.0,2124888.422202996,17482672.416263506,6094.480469
8420.0,2124881.598049234,17482669.758783106,6189.450194999999
8515.0,2124877.0048699533,17482667.363769908,6284.440430000001
8611.0,2124872.5429242724,17482665.23122063,6380.429688
8706.0,2124868.704348034,17482662.376893107,6475.419921999999
8800.0,2124864.439272438,17482659.358520307,6569.400390999999
8894.0,2124859.222723715,17482657.160357505,6663.389648
8990.0,2124855.4497511536,17482655.487129107,6759.379883
9084.0,2124852.529806834,17482652.796840306,6853.370117
9178.0,2124850.003546911,17482648.72860199,6947.360352
9273.0,2124848.4615455493,17482646.366390627,7042.349609000001
9368.0,2124845.869704915,17482645.677417506,7137.349609000001
