time,CUM_GAS
2011-08-01,0.0
2011-09-01,1853.0
2011-10-01,18282.0
2011-11-01,26554.0
2011-12-01,30469.0
2012-01-01,35804.0
2012-02-01,39342.0
2012-03-01,43106.0
2012-04-01,46493.0
2012-05-01,49833.0
2012-06-01,52449.0
2012-07-01,55180.0
2012-08-01,57150.0
2012-09-01,59889.0
2012-10-01,62375.0
2012-11-01,64648.0
2012-12-01,66642.0
2013-01-01,68274.0
2013-02-01,69613.0
2013-03-01,71312.0
2013-04-01,72913.0
2013-05-01,74489.0
2013-06-01,76443.0
2013-07-01,78231.0
2013-08-01,79957.0
2013-09-01,81134.0
2013-10-01,82543.0
2013-11-01,83854.0
2013-12-01,84624.0
2014-01-01,85265.0
2014-02-01,86940.0
2014-03-01,88384.0
2014-04-01,89643.0
2014-05-01,90861.0
2014-06-01,92060.0
2014-07-01,93112.0
2014-08-01,94199.0
2014-09-01,95378.0
2014-10-01,96644.0
2014-11-01,97647.0
2014-12-01,98767.0
2015-01-01,99920.0
2015-02-01,100142.0
2015-03-01,101582.0
2015-04-01,102968.0
2015-05-01,104228.0
2015-06-01,105224.0
2015-07-01,106261.0
2015-08-01,107074.0
2015-09-01,108311.0
2015-10-01,109226.0
2015-11-01,110126.0
2015-12-01,110970.0
2016-01-01,111766.0
2016-02-01,112730.0
2016-03-01,113127.0
2016-04-01,114023.0
2016-05-01,115197.0
2016-06-01,116065.0
2016-07-01,116895.0
2016-08-01,117694.0
2016-09-01,117846.0
2016-10-01,118747.0
2016-11-01,119724.0
2016-12-01,120344.0
2017-01-01,120454.0
2017-02-01,120659.0
2017-03-01,121611.0
2017-04-01,122765.0
2017-05-01,123053.0
2017-06-01,124192.0
2017-07-01,125233.0
2017-08-01,126100.0
2017-09-01,126895.0
2017-10-01,127652.0
2017-11-01,128383.0
2017-12-01,129140.0
2018-01-01,129864.0
2018-02-01,130544.0
2018-03-01,131212.0
2018-04-01,131837.0
2018-05-01,132283.0
2018-06-01,133233.0
2018-07-01,133891.0
2018-08-01,134517.0
2018-09-01,135130.0
2018-10-01,135549.0
2018-11-01,135566.0
2018-12-01,136030.0
2019-01-01,137116.0
2019-02-01,138395.0
2019-03-01,139417.0
2019-04-01,140313.0
2019-05-01,141209.0
2019-06-01,142011.0
2019-07-01,142789.0
2019-08-01,143565.0
2019-09-01,144265.0
2019-10-01,144747.0
2019-11-01,145250.0
2019-12-01,145990.0
2020-01-01,146587.0
2020-02-01,147223.0
2020-03-01,147844.0
2020-04-01,148408.0
2020-05-01,148640.0
2020-06-01,149220.0
2020-07-01,149836.0
2020-08-01,150454.0
