time,CUM_WTR
2011-08-01,0.0
2011-09-01,8566.0
2011-10-01,23966.0
2011-11-01,39487.0
2011-12-01,41402.0
2012-01-01,44854.0
2012-02-01,47043.0
2012-03-01,49212.0
2012-04-01,51101.0
2012-05-01,53343.0
2012-06-01,55085.0
2012-07-01,56842.0
2012-08-01,58231.0
2012-09-01,60281.0
2012-10-01,62258.0
2012-11-01,63982.0
2012-12-01,65409.0
2013-01-01,66624.0
2013-02-01,67591.0
2013-03-01,68615.0
2013-04-01,69514.0
2013-05-01,70889.0
2013-06-01,72668.0
2013-07-01,74405.0
2013-08-01,76210.0
2013-09-01,77345.0
2013-10-01,78627.0
2013-11-01,79612.0
2013-12-01,80282.0
2014-01-01,80732.0
2014-02-01,82156.0
2014-03-01,83113.0
2014-04-01,84262.0
2014-05-01,85294.0
2014-06-01,86159.0
2014-07-01,87329.0
2014-08-01,87779.0
2014-09-01,88809.0
2014-10-01,89839.0
2014-11-01,90669.0
2014-12-01,91586.0
2015-01-01,92526.0
2015-02-01,92815.0
2015-03-01,93885.0
2015-04-01,95267.0
2015-05-01,96553.0
2015-06-01,97351.0
2015-07-01,98381.0
2015-08-01,99556.0
2015-09-01,100556.0
2015-10-01,101555.0
2015-11-01,102433.0
2015-12-01,103333.0
2016-01-01,104103.0
2016-02-01,104788.0
2016-03-01,105192.0
2016-04-01,105980.0
2016-05-01,107455.0
2016-06-01,108905.0
2016-07-01,110075.0
2016-08-01,110940.0
2016-09-01,111245.0
2016-10-01,111950.0
2016-11-01,112915.0
2016-12-01,113220.0
2017-01-01,113600.0
2017-02-01,113760.0
2017-03-01,114220.0
2017-04-01,115210.0
2017-05-01,115610.0
2017-06-01,116420.0
2017-07-01,117445.0
2017-08-01,118345.0
2017-09-01,118950.0
2017-10-01,119695.0
2017-11-01,120305.0
2017-12-01,120880.0
2018-01-01,121630.0
2018-02-01,122370.0
2018-03-01,122990.0
2018-04-01,123585.0
2018-05-01,124065.0
2018-06-01,124910.0
2018-07-01,125560.0
2018-08-01,126229.0
2018-09-01,126699.0
2018-10-01,127289.0
2018-11-01,128339.0
2018-12-01,131205.0
2019-01-01,133840.0
2019-02-01,135510.0
2019-03-01,136964.0
2019-04-01,138084.0
2019-05-01,139209.0
2019-06-01,139954.0
2019-07-01,140849.0
2019-08-01,141824.0
2019-09-01,142374.0
2019-10-01,143084.0
2019-11-01,143184.0
2019-12-01,143689.0
2020-01-01,144219.0
2020-02-01,144749.0
2020-03-01,145149.0
2020-04-01,146029.0
2020-05-01,146144.0
2020-06-01,146979.0
2020-07-01,147119.0
2020-08-01,147859.0
