time,CUM_PROD_DAYS
2010-04-01,0.0
2010-05-01,25.0
2010-06-01,55.0
2010-07-01,86.0
2010-08-01,117.0
2010-09-01,141.0
2010-10-01,172.0
2010-11-01,180.0
2010-12-01,187.0
2011-01-01,190.0
2011-02-01,206.0
2011-03-01,235.0
2011-04-01,263.0
2011-05-01,264.0
2011-06-01,268.0
2011-07-01,286.0
2011-08-01,293.0
2011-09-01,301.0
2011-10-01,306.0
2011-11-01,323.0
2011-12-01,328.0
2012-01-01,333.0
2012-02-01,345.0
2012-03-01,357.0
2012-05-01,372.0
2012-06-01,373.0
2012-07-01,390.0
2012-08-01,421.0
2012-09-01,450.0
2012-10-01,479.0
2012-11-01,491.0
2012-12-01,522.0
2013-01-01,553.0
2013-02-01,581.0
2013-03-01,586.0
2013-04-01,614.0
2013-05-01,637.0
2013-06-01,653.0
2013-07-01,675.0
2013-11-01,698.0
2013-12-01,729.0
2014-01-01,760.0
2014-02-01,788.0
2014-03-01,818.0
2014-04-01,848.0
2014-05-01,879.0
2014-06-01,909.0
2014-07-01,917.0
2014-08-01,935.0
2014-09-01,962.0
2014-10-01,979.0
2014-11-01,996.0
2014-12-01,998.0
2015-03-01,999.0
2015-05-01,1024.0
2015-06-01,1052.0
2015-07-01,1083.0
2015-08-01,1084.0
2015-09-01,1104.0
2015-10-01,1115.0
2015-11-01,1117.0
2015-12-01,1148.0
2016-01-01,1179.0
2016-02-01,1208.0
2016-03-01,1239.0
2016-04-01,1269.0
2016-05-01,1300.0
2016-06-01,1330.0
2016-07-01,1361.0
2016-08-01,1392.0
2016-09-01,1418.0
2016-10-01,1433.0
2016-11-01,1452.0
2017-01-01,1470.0
2017-02-01,1498.0
2017-03-01,1528.0
2017-04-01,1556.0
2017-05-01,1587.0
2017-06-01,1617.0
2017-07-01,1648.0
2017-08-01,1679.0
2017-09-01,1708.0
2017-10-01,1739.0
2017-11-01,1769.0
2017-12-01,1797.0
2018-01-01,1803.0
2018-02-01,1831.0
2018-03-01,1862.0
2018-04-01,1892.0
2018-05-01,1923.0
2018-06-01,1953.0
2018-07-01,1984.0
2018-08-01,2015.0
2018-09-01,2045.0
2018-10-01,2076.0
2018-11-01,2106.0
2018-12-01,2133.0
2019-01-01,2161.0
2019-02-01,2189.0
2019-03-01,2203.0
2019-05-01,2226.0
2019-06-01,2254.0
2019-07-01,2283.0
2019-08-01,2312.0
2019-09-01,2339.0
2019-10-01,2370.0
2019-11-01,2400.0
2019-12-01,2431.0
2020-01-01,2462.0
2020-02-01,2469.0
2020-03-01,2500.0
2020-04-01,2530.0
2020-05-01,2556.0
2020-08-01,2568.0
